Голдуха/Золотая медаль;Голод;Музыкальный инструмент;Трава
Кринж/Стыд, отвращение;Злой;Очень хорошо;Егор Крид
Агриться/Злиться;Драться;Уходить;Смеяться
Что имеют ввиду, когда говорят "Агонь"?/Здорово,классно;Вперёд;Жарко;Слишком ярко
Анбоксинг/Распаковка подарков;Музыкальный инструмент;Играть в игру;Компакт диск
Антихайп/Против всего модного;Одежда;Достижение;Видеоролик
Апать/Повышать звание;Кушать;Прыгать;Спать
Ачивка/Достижение;Ошибка;Одежда;Вид ткани
Байтить/Заманивать в ловушку;Отдыхать;Рисовать;Улучшать
Баян/Повторная публикация информации;Музыкальный инструмент;Книга;Старый человек
БомбИт/Бесит, раздражает;Взрывает что-либо;Воровать;Драться
ГорИт/Сильно злит кто-то;Нравится кто-то;Время на исходе;Жажда
Войсить/Отправлять аудиосообщения;Кричать;Пить воду;Одеваться
Вписка/Вечеринка;Шпаргалка;Часть гардероба;Подпись
Выпилиться/Уйти, выйти из игры;Сильно напиться;Победить;Проиграть
Гамать/Играть;Прогуливаться;Качаться в гамаке;Ужинать
Кто такой "Гик"?/Фанат;Высокий человек;Редкий вид животного;Программист
ВтащИть/Ударить, побить;Пообедать;Зайти куда-либо;Выиграть
Донатить/Материальная помощь;Падать;Играть в игры;Доминировать
ГоднотА/Хороший, годный;Плохой, нехороший;Голод;Сливки общества
Жиза/Жизненно;Напиток;Хороший фильм;Жидкость
Зашквар/Что-то позорное;Сгоревшая еда;Поединок;Новый фильм
Запилить/Сделать что-либо;Отпустить;Склеить;Унизить кого-либо
КрипОво/Страшно;Острая еда;Громко смеяться;Красиво
Краш/Понравившийся человек;Заяц;Катастрофа;Падение
Кто такой Кун?/Парень;Японский суп;Медицинский жгут;Оружие
Лолли/Маленькая девочка;Жеребёнок;Настольная игра;Пирожное
Айдол/Кумир;Сухофрукт;Молочный продукт;Строительный инструмент
Биас/Любимчик в к-поп группе;Наркотик;Часть чего либо;Любимое место
Ливнуть/Уйти;Облиться водой;Сильно напиться;Спонсировать
Лойс/Лайк;Лось;Женское имя;Повторение
Мерч/Продукция с символикой;Хлебобулочное изделие;Вирус;Оружие
Нерфить/Понизить показатели;Обедать;Добывать нефть;Подсматривать
